SR,Drug Registration Number,Medicine Name,Strength,Unit of strength,Pharmaceutical form,Pack size,Active substance 1,Active substance 2,Active substance 3,Active substance 4,Retail Price,MAH name
181,DRN-1406/92,Diprosalic,,,Ointment,30g,Betamethasone Dipropionate,Salicylic Acid,,,2.250,"MSD Belgium BVBA/SPRL, Belgium."
182,DRN-1415/92,Betasone,0.1,% w/w,Cream,15g,Betamethasone,,,,0.640,"Gulf Pharmaceutical Industries (Julphar), UAE."
183,DRN-1416/92,Betasone,0.1,% w/w,Ointment,15g,Betamethasone,,,,0.640,"Gulf Pharmaceutical Industries (Julphar), UAE."
184,DRN-142/89,SUPREFACT,0.1,MG,NASAL SPRAY,1 + 1,BUSERELIN ACETATE,,,,26.970,"SANOFI-AVENTIS DEUTSCHLAND GMBH, GERMANY."
185,DRN-1421/92,Imigran,6,mg/0.5mL,Injection,2' PFS X 0.5ml  with an auto-injector,Sumatriptan Succinate,,,,24.650,"GlaxoWellcome UK Limited, UK."
186,DRN-1429/92,Bactroban,2,%,Ointment,15g,Mupirocin Calcium,,,,2.670,"Beecham Group PLC, UK."
187,DRN-1432/92,Betoptic,0.5,%,Eye Drops,5ml,Betaxolol HCl,,,,3.000,"Alcon Couvreur NV, Belgium."
188,DRN-144/89,Flu-kit,,,Tablets,20' ,Paracetamol,Phenylephrine HCl,Promethazine HCl,Salicylamide,0.650,"Gulf Pharmaceutical Industries (Julphar), UAE."
189,DRN-145/90,Cimedine,200,mg,Film Coated Tablets,50' ,Cimetidine,,,,4.530,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
190,DRN-146/90,Cimedine,400,mg,Film Coated Tablets,24' ,Cimetidine,,,,4.700,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
191,DRN-1466/92,Solcoseryl,10,%,Jelly,20g,Protein Free Haemodialysate of Calf Blood ,Chemically and Biologically Standardized (Dried) ,,,1.540,"MEDA Pharmaceuticals Switzerland GmbH, Switzerland."
192,DRN-1467/92,Solcoseryl,2.07,mg/g,Ointment,20g,Dried Protein-Free Chemically and Biologically Standardized Dialysate from Calves Blood,,,,1.230,"MEDA Pharmaceuticals Switzerland GmbH, Switzerland."
193,DRN-1468/92,Solcoseryl Dental Adhesive Paste,2.125/10 ,mg/g,Paste,5g,"Blood, Calf, Deprot., Lmw Portion",Polidocanol,,,1.370,"MEDA Pharmaceuticals Switzerland GmbH, Switzerland."
194,DRN-1480/92,Gental,0.1,%,Ointment,15g,Gentamicin Sulfate,,,,0.770,"Gulf Pharmaceutical Industries (Julphar), UAE."
195,DRN-1497/92,Panderm,,,Cream,15g,Gramicidin,Neomycin Sulfate,Nystatin,Triamcinolone Acetonide,1.200,"Gulf Pharmaceutical Industries (Julphar), UAE."
196,DRN-1498/92,Panderm,,,Ointment,15g,Neomycin Sulfate  ,Nystatin ,Triamcinolone Acetonide  ,Gramicidin,1.200,"Gulf Pharmaceutical Industries (Julphar), UAE."
197,DRN-15/88,Lopid,600,mg,Tablets,30' ,Gemfibrozil,,,,6.190,"Pfizer Pharma GmbH, Germany."
198,DRN-1504/92,Fucidin,2,%,Ointment,15g,Sodium Fusidate,,,,1.310,"LEO Pharma A/S, Denmark."
199,DRN-1505/92,Fucidin,2,%,Cream,15g,Fusidic Acid,,,,1.310,"LEO Pharma A/S, Denmark."
200,DRN-1508/92,Fucicort,,,Cream,15g,Betamethasone,Fusidic Acid ,,,1.890,"LEO Pharma A/S, Denmark."
201,DRN-1526/92,Sandostatin,0.5,mg/mL,Injectable Solution,5 Ampoules x 1 ml,Octreotide,,,,21.960,"Novartis Pharma AG, Switzerland."
202,DRN-1527/92,Sandostatin,1,mg/5mL,Solution For Injection,1Vial,Octreotide,,,,78.220,"Novartis Pharma AG, Switzerland."
203,DRN-1535/92,Anafranil SR,75,mg,Film Coated Tablets,20 DIVITABS,Clomipramine HCl,,,,5.270,"Novartis Pharma AG, Switzerland."
204,DRN-1536/92,Norvasc,5,mg,Capsules,30' ,Amlodipine Besylate,,,,6.670,"Pfizer Holding France, France."
205,DRN-1541/92,Pyralvex,,,Solution Drops,10ml,Rhei Ext (Anthraquinon Glycosides) ,Salicylic Acid ,,,0.910,"Riyadh Pharma (Medical and Cosmetic Product Co. Ltd), KSA."
206,DRN-1575/92,Duofilm,16.7,% w/w,Topical Solution,15ml,Lactic Acid,Salicylic Acid,,,1.690,"Stiefel Laboratories UK Ltd, UK."
207,DRN-1578/92,Tetracycline,3,%,Ointment,25g,Tetracycline HCl,,,,0.540,"Gulf Pharmaceutical Industries (Julphar), UAE."
208,DRN-1596/92,MOXAL,405/100,MG/5ML,ORAL SUSPENSION,200ML,ALUMINIUM HYDROXIDE,MAGNESIUM HYDROXIDE,,,0.540,"GULF PHARMACEUTICAL INDUSTRIES (JULPHAR), UAE."
209,DRN-1597/92,Moxal,,,Chewable Tablets,30' ,Aluminium Hydroxide,Magnesium Hydroxide,,,0.650,"Gulf Pharmaceutical Industries (Julphar), UAE."
210,DRN-1598/92,Julphamox,500,mg,Capsules,20' ,Amoxicillin,,,,2.740,"Gulf Pharmaceutical Industries (Julphar), UAE."
211,DRN-1623/92,Zofran,4,mg,Film Coated Tablets,10' ,Ondansetron HCl Dihydrate,,,,26.150,"Novartis Pharma AG, Switzerland."
212,DRN-1625/92,Zofran,8,mg,Tablets,10' ,Ondansetron HCl Dihydrate,,,,43.100,"Novartis Pharma AG, Switzerland."
213,DRN-1629/92,Zofran,4,mg/2mL,Injectable Solution,5 x 2ml Ampoule,Ondansetron HCl Dihydrate,,,,39.230,"Novartis Pharma AG, Switzerland."
214,DRN-1630/92,Zofran,8,mg/4mL,Injectable Solution,5 x 4 ml Ampoule,Ondansetron HCl Dihydrate,,,,56.020,"Novartis Pharma AG, Switzerland."
215,DRN-1633/92,Retrovir,50,mg/5mL,Oral Solution,200ml,Zidovudine,,,,9.040,"ViiV Healthcare UK Limited, UK."
216,DRN-1644/92,Amoxil,250,mg,Capsules,20' ,Amoxicillin,,,,2.210,"Beecham Group PLC, UK."
217,DRN-1645/92,Amoxil,500,mg,Capsules,20' ,Amoxicillin,,,,4.420,"Beecham Group PLC, UK."
218,DRN-1646/92,Amoxil,250,mg,Powder For Oral Susp,100ml,Amoxicillin,,,,2.740,"SmithKline Beecham PLC, UK."
219,DRN-1650/92,Gyno-Flor ,,,Vaginal Tablets,6' ,Estriol,Viable Lactobacillus Acidophilus,,,3.650,"Medinova AG, Switzerland."
220,DRN-1656/92,Flixonase Aqueous,50,mcg,Nasal Spray,120metered Dose,Fluticasone Propionate,,,,5.000,"GlaxoSmithKline SA, Spain."
221,DRN-1678/92,Sabril,500,mg,Film Coated Tablets,100' ,Vigabatrin,,,,20.640,"Sanofi-Aventis France, France."
222,DRN-1685/92,Xylocaine,5,%,Ointment,35g,Lidocaine HCl,,,,1.130,"AstraZeneca AB, Sweden."
223,DRN-169/90,Minidiab,5,mg,Tablets,30's ,Glipizide,,,,0.940,"Pfizer Italia Srl, Italy."
224,DRN-1720/92,Proscar,5,mg,Film Coated Tablets,28' ,Finasteride,,,,11.820,"Merck Sharp & Dohme Limited, UK."
225,DRN-1723/92,Zestoretic,12.5/20,mg,Tablets,28' ,Hydrochlorothiazide ,Lisinopril Dihydrate ,,,8.800,"AstraZeneca UK Limited, UK."
226,DRN-1730/92,Bonjela,,,Oromucosal Gel,15g,Choline Salicylate,Cetalkonium Chloride,,,0.770,"Reckitt Benckiser Healthcare (UK) Ltd, UK."
227,DRN-1731/92,Butalin,2,mg,Syrup,120ml,Salbutamol Sulfate,,,,0.760,"Gulf Pharmaceutical Industries (Julphar), UAE."
228,DRN-1740/92,Zovirax,,,Cream,10g,Acyclovir,,,,10.250,"Glaxo Operations UK Limited, UK."
229,DRN-1749/92,Orofar,,,Buccal Spary ,30ml,Benzalkonium Chloride,Lidocaine HCl,,,3.340,"Novartis Consumer Health SA, Switzerland."
230,DRN-1750/92,Orofar,1/1,mg,Lozenges,24' ,Benzoxonium Chloride,Lidocaine HCl,,,2.100,"Novartis Consumer Health SA, Switzerland."
231,DRN-1755/92,Daflon,500,mg,Film Coated Tablets,30' ,Diosmin 450mg ,Hesperidin 50mg ,,,2.850,"Les Laboratoires Servier, France."
232,DRN-1757/92,Nicotinell TTS-10,17.5,mg,Transdermal system,7' Patches ,Nicotine,,,,5.910,"Novartis Consumer Health SA, Switzerland."
233,DRN-1758/92,Nicotinell TTS-20,35,mg,Transdermal system,7' Patches ,Nicotine,,,,5.910,"Novartis Consumer Health SA, Switzerland."
234,DRN-1759/92,Nicotinell TTS-30,52.5,mg,Transdermal system,7' Patches ,Nicotine,,,,5.910,"Novartis Consumer Health SA, Switzerland."
235,DRN-1760/92,Ulceran,20,mg,Tablets,20' ,Famotidine,,,,4.010,"Medochemie Ltd, Cyprus."
236,DRN-1761/92,Ulceran,40,mg,Tablets,10' ,Famotidine,,,,4.010,"Medochemie Ltd, Cyprus."
237,DRN-1772/92,Xylocaine,2,%,Jelly,30g,Lidocaine HCl,,,,1.080,"AstraZeneca AB, Sweden."
238,DRN-1789/92,Plendil,5,mg,Prolonged-Release Tablets,30' ,Felodipine,,,,5.220,"AstraZeneca AB, Sweden."
239,DRN-1790/92,Plendil,5,mg,Prolonged-Release Tablets,100' ,Felodipine,,,,13.920,"AstraZeneca AB, Sweden."
240,DRN-1791/92,Plendil,10,mg,Prolonged-Release Tablets,30' ,Felodipine,,,,6.590,"AstraZeneca AB, Sweden."
241,DRN-1792/92,Plendil,10,mg,Prolonged-Release Tablets,100' ,Felodipine,,,,18.370,"AstraZeneca AB, Sweden."
242,DRN-1793/92,Nizoral,20,mg/g,Cream,30g,Ketoconazole,,,,1.780,"Janssen-Cilag NV, Belgium."
243,DRN-1810/92,Tambocor,100,mg,Tablets,60' ,Flecainide Acetate,,,,5.810,"MEDA Pharmaceuticals Limited, UK."
244,DRN-1817/92,Otrivin,0.05,%,Metered Dose Nasal Spray,10ml,Xylometazoline HCl,,,,1.850,"Novartis Consumer Health SA, Switzerland."
245,DRN-1818/92,Otrivin,0.1,%,Metered Dose Nasal Spray,10ml,Xylometazoline HCl,,,,1.360,"Novartis Consumer Health SA, Switzerland."
246,DRN-1825/92,Zavedos,10,mg,Injection,1 Vial,Idarubicin HCl,,,,57.990,"Pfizer Italia Srl, Italy."
247,DRN-1826/92,Zavedos,5,mg,Injection,1 Vial,Idarubicin HCl,,,,34.110,"Pfizer Italia Srl, Italy."
248,DRN-1830/92,Melix,5,mg,Tablets,100' ,Glibenclamide,,,,5.400,"Lagap SA, Switzerland."
249,DRN-1846/92,Otrivin,0.05,%,Nasal Drops,10ml,Xylometazoline HCl,,,,1.170,"Novartis Consumer Health SA, Switzerland."
250,DRN-1847/92,Otrivin,0.1,%,Nasal Drops,10ml,Xylometazoline HCl,,,,1.360,"Novartis Consumer Health SA, Switzerland."
251,DRN-1849/92,Resyl,2,%,Syrup,100ml,Guaifenesin,,,,1.390,"Novartis Consumer Health SA, Switzerland."
252,DRN-1853/92,Klacid,250,mg,Tablets,14' ,Clarithromycin,,,,5.940,"Abbvie Srl, Italy."
253,DRN-1855/92,Pevaryl/ Cilag,1,%,Cream,30g,Econazole Nitrate,,,,1.910,"Janssen Cilag AG, Switzerland."
254,DRN-1859/92,PEVISONE,1/0.1,%,CREAM,15G,ECONAZOLE NITRATE,TRIAMCINOLONE ACETONIDE,,,1.480,"JANSSEN-CILAG AG, SWITZERLAND."
255,DRN-1861/92,Gyno-Pevaryl,1,%,Cream,78g,Econazole Nitrate,,,,3.950,"Cilag AG, Switzerland."
256,DRN-1869/92,Famodar,20,mg,Tablets,30' ,Famotidine,,,,6.640,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
257,DRN-1870/92,Famodar,40,mg,Tablets,10' ,Famotidine,,,,4.760,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
258,DRN-1878/92,Minirin,4,mcg/mL,Solution For Injection,10 x 1 ml,Desmopressin Acetate,,,,8.850,"Ferring GmbH, Germany."
259,DRN-1879/92,Minirin,10,mcg/Dose,Nasal Spray,5ml,Desmopressin Acetate,,,,17.140,"Ferring International Center SA (FICSA), Switzerland."
260,DRN-1884/93,Imigran,100,mg,Film Coated Tablets,2' ,Sumatriptan Succinate,,,,7.640,"GlaxoWellcome UK Limited, UK."
261,DRN-1885/93,Imigran,100,mg,Film Coated Tablets,6' ,Sumatriptan Succinate,,,,20.120,"GlaxoWellcome UK Limited, UK."
262,DRN-189/90,Melix,5,mg,Tablets,30' ,Glibenclamide,,,,2.060,"Lagap SA, Switzerland."
263,DRN-1907/93,Sofradex,,,Ear/Eye Drops,1 dropper bottle of 8 ml,Dexamethasone Sodium Metasulphobenzoate 0.076% w/v,Framycetin Sulfate 0.500%w/v,Gramicidin 0.005%w/v,,1.570,"Sanofi-Aventis, UK."
264,DRN-1916/93,Solcoseryl,8.3,mg/g,Eye Gel,5g,Deproteinized Hemoderivative of Calf Blood,,,,0.990,"MEDA PHARMACEUTICALS SP. Z.O.O, POLAND."
265,DRN-1920/93,Maxidex,0.1,%,Eye Drops,5ml,Dexamethasone,,,,1.600,"NOVARTIS PHARMA AG, SWITZERLAND."
266,DRN-1926/93,Naphcon-A,3/0.25,mg/mL,Eye Drops,15ml,Naphazoline HCl,Pheniramine Maleate,,,1.480,"Alcon Couvreur NV, Belgium."
267,DRN-1928/93,Maxitrol,0.3,%,Eye Drops,5ml,Dexamethasone,Neomycin Sulfate ,Polymyxin B Sulfate ,,1.630,"NOVARTIS PHARMA AG, SWITZERLAND."
268,DRN-1929/93,Maxitrol,,,Eye Ointment,3.5g,Dexamethasone,Neomycin Sulfate ,Polymyxin B Sulfate,,1.060,"Alcon Couvreur NV, Belgium."
269,DRN-193/90,Zestril,20,mg,Tablets,28' ,Lisinopril Dihydrate ,,,,8.800,"AstraZeneca UK Limited, UK."
270,DRN-1932/93,Tears Natural Sterile Ophthalmic solution,,,Eye Drops,15ml,Dextran 70,Hydroxypropyl Methylcellulose,,,1.210,"Alcon Couvreur NV, Belgium."
271,DRN-1933/93,Mydriacyl,0.5,%,Eye Drops,15ml,Tropicamide,,,,2.490,"Alcon Couvreur NV, Belgium."
272,DRN-1934/93,Mydriacyl,1,%,Eye Drops,15ml,Tropicamide,,,,2.800,"Alcon Couvreur NV, Belgium."
273,DRN-194/90,Zestril,5,mg,Tablets,28' ,Lisinopril Dihydrate ,,,,2.910,"AstraZeneca UK Limited, UK."
274,DRN-195/90,Zestril,10,mg,Tablets,28' ,Lisinopril Dihydrate ,,,,6.430,"AstraZeneca UK Limited, UK."
275,DRN-1969/93,Zovirax,3,% w/w,Ophthalmic Ointment,4.5gm,Acyclovir,,,,3.520,"The Wellcome Foundation Limited, UK."
276,DRN-1972/93,Dalacin-C,300,mg,Capsules,16' ,Clindamycin,,,,3.230,"Pfizer Holding France, France."
277,DRN-1978/93,OPTREX,13,% V/V,EYE LOTION,110ML,HAMAMELIS WATER (DISTILLED WITCH HAZEL),,,,0.980,"RECKITT BENCKISER HEALTHCARE UK LIMITED (HULL), UK."
278,DRN-1987/93,Ultracortenol,5,mg/mL,Eye Drops,5ml,Prednisolone Acetate,Prednisolone Pivalate,,,1.230,"Agepha Pharma sro, Slovakia."
279,DRN-2004/93,Ultracortenol,,,Eye Ointment,5g,Prednisolone Acetate,Prednisolone Pivalate,,,1.270,"Agepha Pharma sro, Slovakia."
280,DRN-2023/93,Colircusi Gentamicina,0.3,%,Ear/Eye Drops,10ml,Gentamicin Sulfate,,,,1.160,"Alcon Cusi SA, Spain."
281,DRN-2024/93,Oftalmolosa Cusi Gentamicin,0.3,%,Eye Ointment,5g,Gentamicin Sulfate,,,,1.020,"Laboratories Cusi SA, Spain."
282,DRN-2040/93,Humulin-N-NPH,100,IU/mL,Injectable Solution,10ml x 1 Vial,"Human Insulin NPH, Isophane Suspension (rDNA Origin)",,,,5.270,"Eli Lilly and Company, USA."
283,DRN-2041/93,Humulin-R Regular,100,IU/mL,Injectable Solution,10ml x 1 Vial,Human Insulin Regular (rDNA),,,,5.270,"Eli Lilly and Company, USA."
284,DRN-2042/93,Kytril,3,mg/3mL,Solution For Injection,5 's,Granisetron,,,,39.530,"Roche Pharma (Schweiz) AG, Switzerland."
285,DRN-2046/93,Vacontil,2,mg,Tablets,10' ,Loperamide HCl,,,,0.420,"Medochemie Ltd, Cyprus."
286,DRN-2061/93,Augmentin,312.5,mg/5mL,"Suspension, Powder for oral solution ",100ml,Amoxicillin,Clavulanic Acid,,,4.000,"Beecham Group PLC, UK."
287,DRN-2062/93,Cefrin,125,mg/5mL,Powder For Oral Susp,100ml,Cephalexin Monohydrate,,,,1.790,"Gulf Pharmaceutical Industries (Julphar), UAE."
288,DRN-2072/93,Diprivan,1,%,Emulsion For Inj. and Infusion,50ml Vial,Propofol,,,,7.380,"AstraZeneca UK Limited, UK."
289,DRN-2077/93,Costi,10,mg,Tablets,30' ,Domperidone,,,,1.240,"Medochemie Ltd, Cyprus."
290,DRN-2083/93,Zyloric,100,mg,Tablets,50' ,Allopurinol,,,,2.160,"Aspen Pharma Trading Limited, Ireland."
291,DRN-2084/93,Zyloric,100,mg,Tablets,100' ,Allopurinol,,,,4.330,"Aspen Pharma Trading Limited, Ireland."
292,DRN-2085/93,Zyloric,300,mg,Tablets,28' ,Allopurinol,,,,2.760,"Aspen Pharma Trading Limited, Ireland."
293,DRN-2092/93,Insulatard ,100,IU/mL,Suspension for injection,1's (10ml),Human Insulin (rDNA),,,,5.990,"Novo Nordisk A/S, Denmark."
294,DRN-2093/93,Actrapid HM,100,IU/mL,Solution for injection,1's (10ml),Human Insulin (rDNA),,,,5.990,"Novo Nordisk A/S, Denmark."
295,DRN-2098/93,No-Uric,100,mg,Tablets,50' ,Allopurinol,,,,1.840,"Egyptian International Pharmaceutical Industries Co. (EIPICO), Egypt."
296,DRN-2102/93,Mephaquin,250,mg,Lactab,6' PVC/PE/PVDC,Mefloquine,,,,2.230,"Acino Pharma AG, Switzerland."
297,DRN-2103/93,Tracrium,250,mg,Injectable Solution,2 x 25ml,Atracurium Besylate,,,,21.760,"GlaxoSmithKline SpA Parma, Italy."
298,DRN-2104/93,Zovirax,800,mg,Tablets,35' ,Acyclovir,,,,29.240,"GlaxoSmithKline AS, Norway."
299,DRN-2116/93,Daonil,5,mg,Tablets,100' ,Glibenclamide,,,,7.230,"Sanofi-Aventis Egypt SAE, Egypt."
300,DRN-2117/93,Xanax,1,mg,Tablets,30' ,Alprazolam ,,,,1.350,"Pfizer Italia Srl, Italy."
301,DRN-2136/93,Cytosar,100,mg,Powder & Solvent for Solution for Injection,5ml Vials + 1 Ampoule Solvent,Cytarabine,,,,1.730,"Pfizer Italia Srl, Italy."
302,DRN-2138/93,Myleran,2,mg,Tablets,100' ,Busulfan,,,,107.760,"Aspen Pharma Trading Limited, Ireland."
303,DRN-2139/93,Puri-Nethol,50,mg,Tablets,25' ,Mercaptopurine,,,,34.140,"Aspen Pharma Trading Limited, Ireland."
304,DRN-2142/93,Alkeran,2,mg,Tablets,25' ,Melphalan,,,,36.050,"Aspen Pharma Trading Limited, Ireland."
305,DRN-2144/93,Imuran,25,mg,Tablets,100' ,Azathioprine,,,,8.730,"Aspen Pharma Trading Limited, Ireland."
306,DRN-2145/93,Imuran,50,mg,Tablets,100' ,Azathioprine,,,,10.930,"Aspen Pharma Trading Limited, Ireland."
307,DRN-2146/93,Lanvis,40,mg,Tablets,25's,Thioguanine,,,,65.210,"Aspen Pharma Trading Limited, Ireland."
308,DRN-2151/93,Leukeran,2,mg,Tablets,25' ,Chlorambucil,,,,30.840,"Aspen Pharma Trading Limited, Ireland."
309,DRN-2160/93,Vermox,2,%,Oral Suspension,30ml,Mebendazole,,,,0.860,"Janssen-Cilag NV, Belgium."
310,DRN-2161/93,Vermox,100,mg,Tablets,6' ,Mebendazole,,,,0.800,"Janssen-Cilag NV, Belgium."
311,DRN-2163/93,Vermox,500,mg,Tablets,1's,Mebendazole,,,,0.690,"Janssen Pharmaceutica NV, Belgium."
312,DRN-2166/93,Trandate,100,mg,Tablets,25' ,Labetalol HCl,,,,1.860,"Aspen Pharma Trading Ltd, Ireland."
313,DRN-2168/93,Lopresor,50,mg,Film Coated Tablets,40' ,Metoprolol Tartrate,,,,2.720,"Novarties Saglik, Turkey."
314,DRN-2169/93,Lopresor,100,mg,Film Coated Tablets,40' ,Metoprolol Tartrate,,,,5.440,"Novartis Pharma AG, Switzerland."
315,DRN-2184/93,Inderal,10,mg,Film Coated Tablets,50' ,Propranolol HCl,,,,0.620,"AstraZeneca UK Limited, UK."
316,DRN-2185/93,Inderal,40,mg,Film Coated Tablets,50' ,Propranolol HCl,,,,1.530,"AstraZeneca UK Limited, UK."
317,DRN-2200/93,Zentel,2,%,Suspension,20ml,Albendazole,,,,0.880,"Laboratoire GlaxoSmithKline, France."
318,DRN-2206/93,Concor,10,mg,Film Coated Tablets,30' ,Bisoprolol Fumarate,,,,4.440,"Merck Serono GmbH, Germany."
319,DRN-2207/93,Concor,5,mg,Film Coated Tablets,30' ,Bisoprolol Fumarate,,,,3.130,"Merck Serono GmbH, Germany."
320,DRN-2214/93,Adriblastina,50,mg,powder freeze dried for solution ,1 Vial,Doxorubicin HCl,,,,18.320,"Pfizer Italia Srl, Italy."
321,DRN-2215/93,Adriblastina,10,mg,powder freeze dried for solution ,1 powder vial + 1 solvent ampoules ,Doxorubicin HCl,,,,3.560,"Pfizer Italia Srl, Italy."
322,DRN-2240/93,Prospan cough syrup,0.7,g/100mL,Syrup,100ml,Dried Ivy Leaf Extract,,,,1.670,"Engelhard Arzneimittel GmbH & Co.KG, Germany."
323,DRN-2242/93,Prospan herbal drops,20,mg/100mL,Solution,20ml,Dried Ivy Leaf Extract Ethanolic ,,,,1.610,"Engelhard Arzneimittel GmbH & Co.KG, Germany."
324,DRN-2247/93,Tyrosur,1,mg/g,Powder For External,20g,Tyrothricin,,,,2.140,"Engelhard Arzneimittel GmbH & Co.KG, Germany."
325,DRN-2265/93,Seroxat,20,mg,Coated Tablets,30' ,Paroxetine HCl,,,,6.590,"SmithKline Beecham Limited, UK."
326,DRN-2269/93,Duspatalin,135,mg,Coated Tablets,50' ,Mebeverine HCl,,,,4.740,"Abbott HealthCare Products BV, The Netherlands."
327,DRN-2276/93,KAPTIN,2.895/0.065,G/15ML,ORAL SUSPENSION,200ML,KAOLIN,PECTIN,,,0.670,"GULF PHARMACEUTICAL INDUSTRIES (JULPHAR), UAE."
328,DRN-2282/93,LAMICTAL,50,MG,TABLET,30,LAMOTRIGINE,,,,5.510,"GLAXOSMITHKLINE PHARMACEUTICALS SA, POLAND."
329,DRN-2283/93,LAMICTAL,100,MG,TABLET,30,LAMOTRIGINE,,,,10.890,"GLAXOSMITHKLINE PHARMACEUTICALS SA, POLAND."
330,DRN-2284/93,Colospasmin,100,mg,Tablets,20' ,Mebeverine HCl,,,,1.400,"Egyptian International Pharmaceutical Industries Co. (EIPICO), Egypt."
331,DRN-2290/93,Imodium,2,mg,Capsules,6' ,Loperamide HCl,,,,0.630,"Johnson & Johnson Lda, Portugal."
332,DRN-2291/93,Imodium,2,mg,Capsules,240' ,Loperamide HCl,,,,22.480,"Johnson & Johnson Lda, Portugal."
333,DRN-2292/93,Buscopan,10,mg,Sugar Coated Tablets,20' ,Hyoscine-N-Butyl Bromide,,,,1.150,"SANOFI-AVENTIS DEUTSCHLAND GMBH, GERMANY."
334,DRN-2297/93,Scopinal,10,mg,Tablets,20' ,Hyoscine-N-Butyl Bromide,,,,0.810,"Gulf Pharmaceutical Industries (Julphar), UAE."
335,DRN-2300/93,Tobradex,1/3,mg,Ophthalmic Solution,5ml,Dexamethasone,Tobramycin ,,,2.070,"Alcon Couvreur NV, Belgium."
336,DRN-2301/93,Tobradex,1/3,mg,Eye Ointment,3.5g,Dexamethasone,Tobramycin,,,1.910,"Alcon Couvreur NV, Belgium."
337,DRN-2308/93,Anginova,0.25/1,mg,Lozenges,20 LOZENGES,Dequalinium Chloride,Lidocaine HCl,,,1.360,"Medinova AG, Switzerland."
338,DRN-2317/93,Xyloproct,50/2.5,mg,Ointment,20' g,Lidocaine,Hydrocortisone Acetate,,,1.290,"AstraZeneca AB, Sweden."
339,DRN-2318/93,Xyloproct,5/60,mg/g,Suppositories,10' ,Hydrocortisone Acetate ,Lidocaine HCl,Zinc Oxide,,1.290,"AstraZeneca AB, Sweden."
340,DRN-2331/93,Doxiproct,,,Ointment,30g,Calcium Dobesilate,Lidocaine HCl,,,2.310,"Om Pharma SA, Switzerland."
341,DRN-2333/93,Doxiproct Plus,,,Ointment,20g,Calcium Dobesilate,Dexamethasone ,Lidocaine HCl,,1.850,"Om Pharma SA, Switzerland."
342,DRN-2337/93,Procto-Glyvenol,400/40,mg,Suppositories,10' ,Lidocaine HCl,Tribenoside,,,2.780,"Novartis Consumer Health SA, Switzerland."
343,DRN-2338/93,Procto-Glyvenol,20/50,mg/g,Cream,30g,Lidocaine HCl,Tribenoside,,,2.560,"Novartis Consumer Health SA, Switzerland."
344,DRN-2351/93,Trachitol,,,Lozenges,20' ,Lidocaine HCl 1 H2O ,Propyl-4-Hydroxybenzoate,Alumen ,,0.670,"Engelhard Arzneimittel GmbH & Co.KG, Germany."
345,DRN-2354/93,Albothyl,90,mg,Vaginal Suppositories,6' ,Policresulen,,,,2.340,"Takeda GmbH, Germany."
346,DRN-2360/93,Augmentin,625,mg,Film Coated Tablets,20' ,Amoxicillin,Clavulanic Acid,,,8.560,"Beecham Group PLC, UK."
347,DRN-2370/93,Waxsol,0.5,% w/v,Ear Drops,10ml,Docusate Sodium,,,,0.650,"Riyadh Pharma (Medical and Cosmetic Product Co. Ltd), KSA."
348,DRN-2388/93,Madopar,250,mg,Capsules,30's,Levodopa,Benserazide,,,6.180,"Roche Pharma (Schweiz) AG, Switzerland."
349,DRN-2389/93,Madopar,250,mg,Capsules,100's,Levodopa,Benserazide ,,,19.960,"Roche Pharma (Schweiz) AG, Switzerland."
350,DRN-239/90,Bezalip,200,mg,Film Coated Tablets,50' ,Bezafibrate,,,,2.040,"Actavis Group PTC ehf, Iceland."
351,DRN-2392/93,Sinemet,250/25,mg,Tablets,20' ,Levodopa,Carbidopa,,,1.960,"Algorithm SAL, Lebanon."
352,DRN-240/90,Bezalip Retard,400,mg,Film Coated Tablets,30',Bezafibrate,,,,3.070,"Actavis Group PTC ehf, Iceland."
353,DRN-2400/93,Valium,5,mg,Tablets,25' ,Diazepam,,,,1.460,"F. Hoffmann La Roche Ltd, Switzerland."
354,DRN-2402/93,Valium,10,mg,Tablets,25' ,Diazepam,,,,2.150,"F. Hoffmann La Roche Ltd, Switzerland."
355,DRN-2403/93,Valium,2,mg,Tablets,30' ,Diazepam,,,,1.080,"F. Hoffmann La Roche Ltd, Switzerland."
356,DRN-2405/93,Valium,10,mg/2mL,Injection,10 x 2ml Ampoules,Diazepam,,,,2.350,"F. Hoffmann La Roche Ltd, Switzerland."
357,DRN-2411/93,Depakine,200,mg/mL,Oral Solution,40ml,Sodium Valproate,,,,1.610,"SANOFI-AVENTIS FRANCE (GENTILLY), FRANCE."
358,DRN-2412/93,Depakine,200,mg,Gastro-Resistant Tablets,40' ,Sodium Valproate,,,,2.130,Sanofi-Aventis
359,DRN-2413/93,Depakine,500,mg,Gastro-Resistant Tablets,40' ,Sodium Valproate,,,,3.730,Sanofi-Aventis
360,DRN-2414/93,Depakine,57.64,mg/1mL,Syrup,150ml,Sodium Valproate,,,,2.050,Sanofi-Aventis
361,DRN-2415/93,Kemadrin,5,mg,Tablets,100' ,Procyclidine HCl,,,,2.650,"Aspen Pharma Trading Limited, Ireland."
